r_name,sig_len,sampling_freq,created_at
16265,11730944,128,1990-01-04 08:04:00
16272,11520000,128,1990-01-04 10:45:00
16273,11354112,128,1990-01-04 08:00:00
16420,11051008,128,1990-01-04 09:55:00
16483,11960320,128,1990-01-04 09:54:00
16539,11327488,128,1990-01-04 08:40:00
16773,11046912,128,1990-01-04 09:50:00
16786,11284480,128,1990-01-04 11:48:00
16795,10866688,128,1990-01-04 11:15:00
17052,10659840,128,1990-01-04 11:06:00
17453,11235328,128,1990-01-04 09:20:00
18177,11960320,128,1990-01-04 11:30:00
18184,10942464,128,1990-01-04 09:34:00
19088,10967040,128,1990-01-04 10:58:00
19090,11143168,128,1990-01-04 13:50:00
19093,10705920,128,1990-01-04 10:42:00
19140,11139072,128,1990-01-04 11:39:00
19830,10701824,128,1990-01-04 09:56:00
