r_name,sig_len,sampling_freq,created_at
418,525000,250,1990-01-04 00:00:00
419,525000,250,1990-01-04 00:00:00
420,525000,250,1990-01-04 00:00:00
421,525000,250,1990-01-04 00:00:00
422,525000,250,1990-01-04 00:00:00
423,525000,250,1990-01-04 00:00:00
424,525000,250,1990-01-04 00:00:00
425,525000,250,1990-01-04 00:00:00
426,525000,250,1990-01-04 00:00:00
427,525000,250,1990-01-04 00:00:00
428,525000,250,1990-01-04 00:00:00
429,525000,250,1990-01-04 00:00:00
430,525000,250,1990-01-04 00:00:00
602,525000,250,1990-01-04 00:00:00
605,525000,250,1990-01-04 00:00:00
607,525000,250,1990-01-04 00:00:00
609,525000,250,1990-01-04 00:00:00
610,525000,250,1990-01-04 00:00:00
611,525000,250,1990-01-04 00:00:00
612,525000,250,1990-01-04 00:00:00
614,525000,250,1990-01-04 00:00:00
615,525000,250,1990-01-04 00:00:00
