Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,0:00:00,134,,,,,,,,
,0:00:01,134,,,,,,,,
,0:00:02,135,,,,,,,,
,0:00:03,135,,,,,,,,
,0:00:04,137,,,,,,,,
,0:00:05,136,,,,,,,,
,0:00:06,134,,,,,,,,
,0:00:07,131,,,,,,,,
,0:00:08,129,,,,,,,,
,0:00:09,128,0,0:00,,,,0,,
,0:00:10,128,0,0:00,,,,0,,
,0:00:11,128,0,0:00,,,,0,,
,0:00:12,129,0,0:00,,,,1.03,,
,0:00:13,130,0,0:00,,,,1.03,,
,0:00:14,131,0,0:00,,,,1.03,,
,0:00:15,132,0,0:00,,,,2.2,,
,0:00:16,132,0,0:00,,,,2.2,,
,0:00:17,135,0.1,0:00,,,,3.53,,
,0:00:18,136,0.1,0:00,,,,3.53,,
,0:00:19,137,0.1,0:00,,,,4.57,,
,0:00:20,137,0.1,0:00,,,,4.57,,
,0:00:21,138,0.1,0:00,,,,4.57,,
,0:00:22,139,0.1,0:00,,,,5.57,,
,0:00:23,139,0.1,0:00,,,,5.57,,
,0:00:24,139,0,0:00,,,,6.68,,
,0:00:25,139,0,0:00,,,,6.68,,
,0:00:26,140,0,0:00,,,,7.76,,
,0:00:27,141,0,0:00,,,,7.76,,
,0:00:28,142,0,0:00,,,,7.76,,
,0:00:29,143,2,30:13:00,,,,9.14,,
,0:00:30,144,4.2,14:11,,,,10.52,,
,0:00:31,145,4.5,13:19,,,,11.9,,
,0:00:32,146,2.5,23:40,,,,13.28,,
,0:00:33,146,0.3,207:45:00,,,,14.67,,
,0:00:34,146,0.3,207:45:00,,,,16.05,,
,0:00:35,147,0.3,207:45:00,,,,17.43,,
,0:00:36,147,0.3,207:45:00,,,,18.81,,
,0:00:37,147,0.3,207:45:00,,,,20.19,,
,0:00:38,147,0.3,207:45:00,,,,21.57,,
,0:00:39,148,0.3,207:45:00,,,,22.95,,
,0:00:40,148,0,0:00,,,,24.33,,
,0:00:41,148,0,0:00,,,,25.72,,
,0:00:42,148,0,0:00,,,,27.1,,
,0:00:43,148,0,0:00,,,,28.48,,
,0:00:44,148,0,0:00,,,,29.86,,
,0:00:45,147,0,0:00,,,,31.24,,
,0:00:46,147,0,0:00,,,,32.05,,
,0:00:47,147,0,0:00,,,,32.05,,
,0:00:48,147,0,0:00,,,,32.05,,
,0:00:49,147,0,0:00,,,,32.05,,
,0:00:50,148,0.9,70:16:00,,,,33.43,,
,0:00:51,148,0.9,70:16:00,,,,34.81,,
,0:00:52,148,0.9,70:16:00,,,,36.19,,
,0:00:53,148,0.9,70:16:00,,,,36.78,,
,0:00:54,148,0.9,70:16:00,,,,36.78,,
,0:00:55,148,0.9,70:16:00,,,,36.78,,
,0:00:56,149,0.9,70:16:00,,,,36.78,,
